listing_id,id,neighbourhood,date,reviewer_id,reviewer_name,comments
15764884,115047756,Sackville,42695,103885636,Athanasia,I felt very welcome at Old Sackville.  The location is perfect for Mount Allison student parents.  Will return next football season for sure.
15764884,140929655,Sackville,42826,34034896,Thomas,"Jacques is a very friendly and accomodating host, I wish him well."
15764884,145511737,Sackville,42843,45597633,Lisa,This was a lovely place to stay while in Sackville to pack up my daughter's dorm room. Jacques' century old farmhouse was lovely and so peaceful. The bed in the room was very comfortable and there was a nice view out the front window. Jacques was very kind and helpful - he even helped me take apart my daughter's bike to fit in the car! I would highly recommend Jacques' place to other parents or anyone looking for a restful night in charming Sackville.
15764884,146355532,Sackville,42847,23875947,Layla,"This is a beautiful house located in a quiet neighbourhood right next to the Mount Allison campus, which is ideal for family visits to MtA students. The room is very comfortable and Jacques is a great host: caring, respectful, and interesting to talk with. We shall return for sure!"
15764884,188795390,Sackville,42977,145257542,Dana,"Jacques place was close to downtown Sackville and not too far from Moncton.<br/>We thought it would be closer to Hopewell Rocks, but it was an hour away.<br/>Everything was good, just a little noisy at night with traffic.  We had toast and coffee at breakfast and good conversation with Jacques in the evening."
15764884,190557069,Sackville,42982,124844174,Lori,Jacques is a great host.  Very friendly and easy going. Jacques knows the area well and this is very helpful when you don't know what to do or where to go. Felt at home.
15764884,194030458,Sackville,42993,145492913,Tabitha,"5* all round! Very welcoming and friendly host. I had everything I needed (comfy bed, clean room, private bathroom and essentials). Would highly recommend, especially if you have a connection to Mount Allison University as it is no more than a 1-2 minute walk! Jacques is the perfect host :)"
15764884,209548454,Sackville,43044,156776891,Pierre-Luc,Jacques is a great host and friendly guy. Made me feel at home with company to talk with & network with his other guests. Location was perfect to walk around main street and back.
15764884,213875010,Sackville,43062,8213947,Linda,"Jacques was very open, friendly and generous.  The home was warm, peaceful and in a great location for Sackville, with Amherst just down the highway 15 min.  Thanks, Jacques, for a great place to stay during my recent excursion!"
15764884,258668632,Sackville,43219,149300599,Brian,"I had an excellent stay at Jacques place for four nights. Jacques home is very clean and comfortable and full of character and I really enjoyed chatting with Jacques in the evening over dinner or a glass of wine. I would especially recommend this place to anyone looking for local advice and / or some good conversation. It is close to everything in Sackville so walking to University, downtown, or grocery store is very easy."
15764884,264711492,Sackville,43234,119530592,Ina,"I very much enjoyed my time staying in Jacques' home. It was extremely tidy, welcome and had a nice ""home-y"" environment. The wood stove was lit one night too which was a nice touch. Jacques was great company for the weekend."
15764884,303026892,Sackville,43318,6964468,Frances,"Excellent host and comfortable, clean accommodations. Highly recommended! "
15764884,312036695,Sackville,43334,97290678,Léa,"En face de l’université et près des restaurants. Très belle maison, propre et accueillante."
15764884,314251703,Sackville,43338,103885636,Athanasia,Excellent location and lovely home
15764884,318174415,Sackville,43346,190091808,Maria,Jacques was a very friendly and welcoming host. The house was very beautiful. It was a great pleasure to be here.
15764884,334907221,Sackville,43383,186461335,Deborah,"Jacques is an excellent host who gives you freedom to come and go according to your plans. The coffee was delicious, the bed very comfortable, and the suggestions of local places of interest were excellent. His house is perfectly located for enjoying the town and for exploring the region. An extra bonus was being able to practice our French! Merci bien et à la prochaine!"
15764884,336553532,Sackville,43387,212290934,Sarah,"I stayed at Jacque's Airbnb while I was attending a conference at Mount Allison University. He was very flexible and accommodating for check in, and the location was only three minutes from the university campus, which was ideal for me. The space was clean, private and quaint. It's a beautiful old house, and while I spent most of my time at the conference, I had a very enjoyable stay."
15764884,466789345,Sackville,43625,131929794,Carol,"Location is across the street from the University, near restaurants and waterfowl boardwalk.  Enjoyed our conversations with the host.  Place was clean and pleasant, as expected!"
15764884,495122187,Sackville,43671,44537960,Nola,Nice and clean and close to many things
15764884,517505137,Sackville,43702,248629445,Jessica,"Jacques' place is a really nice place to stay, it is well located, clean, and Jacques makes you feel comfortable, it feels like home, I totally recommend it. My husband and I stayed at Jacques' place for two nights and we loved it! Thank you Jacques!"
15764884,710055745,Sackville,44155,219926800,Brittany,"MtA students, alum or family - this is the *perfect* location for you. The home has quite a charming character to it! I loved the wood fire place if you are coming during the cooler months. Jacques was very easy going and hospitable. Next time I'm back in Sackville, I'll be staying here!"
15764884,741084879,Sackville,44276,16754385,Lisa,"Je recommande vivement Jacques pour son hospitalité unique ! Jacques est très sympathique et connait tous les bons plans des Maritimes. Communication fluide et réponse rapide, Jacques est un hôte arrangeant qui fait tout pour que nous nous sentions à l'aise.<br/>Le logement est très bien situé, à 5 min à pied du campus universitaire et de la rue principale avec les commerces et les restaurants. Facilement accessible, c'est une agréable maison bien arrangée et propre. Idéal pour visiter les environs durant la fin de semaine."
15764884,6.02874E+17,Sackville,44662,106820580,Elaine,"Jacques was a wonderful host. So friendly and hospitable. My daugther and I were checking out Mount Allison and we felt so welcomed. Highly recommend to anyone who appreciates an engaging, warm environment. A comfortable room in a quaint, beautiful old home. Right at the edge of the university property and within walking distance of town amenities and points of interest."
15764884,6.08608E+17,Sackville,44670,190351684,Dwight,Jacques place was perfect for my short trip to visit my son at Mt. Allison University which was literally spitting distance away… room was comfortable and clean with an old world charm to it …
15764884,6.12197E+17,Sackville,44675,407403051,Canaan,"Jacques was a lovely, polite, and generous host, and the accommodations were great, would recommend to anyone that is looking to stay in Sackville"
15764884,6.18796E+17,Sackville,44684,285359971,Heather,"I am ever so glad I found this accommodation!  The accommodation itself was very nice and the location perfect.  Jacques is a fabulous host.  He is interesting and easy to talk to, and when I ran into a couple of issues during my stay he went out of his way to assist and accommodate.  I greatly appreciated all his help and definitely would stay again."
15764884,6.8115E+17,Sackville,44770,128069458,Juliane,Jaques is a wonderful host. You feel like you know him forever. It was such fun staying with him.
15764884,6.91291E+17,Sackville,44784,361558573,Stefanie,"Einen Aufenthalt bei Jaques kann ich jedem weiterempfehlen! Jaques ist ein großartiger Gastgeber und man kann sich sehr angenehm mit ihm unterhalten. Man fühlt sich sofort wohl. Er kennt die Umgebung sehr gut, gibt gerne Anregungen für Unternehmungen und ist generell sehr großzügig und hilfsbereit. Das Haus ist sehr schön, hat Charme, eine ruhige Lage und ist trotzdem zentral. In wenigen Gehminuten erreicht man Einkausmöglichkeiten und Restaurant und Cafes. Außerdem den schönen Waterfowl Park, die Universität und Museen. Rundum alles super!"
15764884,7.0643E+17,Sackville,44805,67478526,Maria José,"Estadia foi muito agradável <br/>Quarto confortável e arejado <br/>Banheiro limpo, chuveiro super eficiente."
17040434,136102068,Sackville,42802,118272301,Morgan,"This place is private and cosy, in a quaint little town, close to restaurants and cafes, and the waterfowl park. Nice attention to detail and gracious host!"
17040434,136578257,Sackville,42805,74898503,Monica,"Maggie was a wonderful, accommodating host! We could tell instantly upon our arrival that she put a lot of thought and care into making her place as welcoming as possible for her guests. Maggie was easy to communicate with, and provided us with great recommendations. I would recommend this place to anyone who is looking for a place to stay in the area. "
17040434,140708674,Sackville,42825,121929176,Roland,"We thoroughly enjoyed our stay!  2nd floor private apartment with private entry, kitchen with sitting area, bath w/shower, and BR w/queen bed. Bed is in corner of room.  House is over a century old. Nice wide floor boards with area rugs. Awesome tile work in bath and kitchen backsplash. Heat is provided by a combination of built-in and portable electric heaters and central ducting channeling wood-heated air. Original paintings grace the walls. Would definitely stay here again!"
17040434,141534773,Sackville,42828,68086442,Rick,"Fun little apartment to yourself.  Great location to downtown, Mount A. or the Waterfowl Park. We'll definately be back!"
17040434,149630963,Sackville,42860,118238857,Megan,"This suite has everything you need and is in the perfect location, right beside the Waterfowl Park and a few minutes walk away from amenities.   Maggie was a great host: 5/5, would recommend!  :)  "
17040434,150182092,Sackville,42862,75985486,Jake,"Maggie was a perfect host, and was very easy to get in touch with when I had questions. Her Spot is perfectly located in Sackville, and I was able to walk to most of my destinations. The Apartment was immaculate, and had all the conveniences I needed. I would highly recommend it."
17040434,151524798,Sackville,42868,53888493,Melissa,"The apt was exactly what we needed, the place was clean and cozy...especially loved the fresh eggs in the fridge. Very warm and fun atmosphere and will gladly stay again! "
17040434,152471476,Sackville,42871,14707054,Kathleen,"Perfect location for walking to downtown Sackville and the nearby marsh. A nice bathroom and functional, well stocked kitchen. The bedroom is a little bit cramped, but it didn't really bother us. This is a lovely place to stay!! "
17040434,152647801,Sackville,42872,37353565,Carl,"Maggie was very welcoming. The appartment was clean and had everything necessary and even more(good coffee, fresh eggs from her chickens, good variety of books, nice quality soaps, etc.). Maggie also gave us a complete list of things to do and there are nice things to do near her place."
17040434,153280186,Sackville,42875,57061566,John,"Maggie's suite is a charming place to stay and provides a nice location to access Sackville's many interesting attractions. Maggie is thoughtful enough to provide information on many of these places, and offers additional treats (like fresh eggs!) for guests. A memorable airbnb. "
17040434,154442418,Sackville,42879,59453408,Sam,"Couldn't be happier with our stay here, thanks for having us!! "
17040434,154652929,Sackville,42880,5272514,Sharon,"My husband and I stopped at Maggie's on our way from PEI down to Advocate Harbour. The place is on a quiet, pretty, residential street that's just a 3 minute walk to an area with restaurants/a coffee shop. We checked in pretty late, but there were lights left on so we could find her place easily as well as a private entry and keypad for easy access. The place was clean, bigger than we expected, and the bed was comfortable. Maggie responded quickly to my message and helped us with recommendations in town and also in the next place we'd be in. "
17040434,154873460,Sackville,42881,116884753,Catheline,"Une demeure chaleureuse, avec un brin de magie. Une belle énergie émane des lieux, empreints d'une touche rustique et artistique. Il est situé dans un quartier très plaisant pour les promenades tranquilles. Je recommande vivement cet endroit."
17040434,155184296,Sackville,42882,3229496,Karen And Jason,"Thanks, we enjoyed our stay! Very cute little place and a great location !"
17040434,155695076,Sackville,42883,1839824,Meaghan,"If I could give Maggie 10 stars, I would. She was super accommodating and communicative despite my crazy schedule. The apartment is really well located and has everything you could need. Highly recommended!!"
17040434,156003123,Sackville,42884,116884753,Catheline,"My stay at Maggie's appartment was again extremely nice. Beautiful garden, comfortable bed, artistic and cozy atmosphere and beautiful neighborhood. I highly recommend her place."
17040434,160114109,Sackville,42898,15956860,Sarah,"Maggie was very nice and helpful. The place is cosy and perfectly located, just near to the waterfront "
17040434,160329723,Sackville,42899,133631083,Brittany,It was lovely to wake up to the sounds of nature through the open window. What a nice place to stay!
17040434,160556884,Sackville,42900,25774422,Chris,"Maggie's home is a character home and we loved staying in it because of how charming and cozy it is. Although the home is old, the bathroom has been upgraded and everything we needed was provided, and more! Thanks Maggie for the great accommodation! "
17040434,161337662,Sackville,42903,110018729,Taylor,This apartment is a wonderful little landing pad for anyone travelling. The main house and garden are lovely and the cats very friendly! The location is perfect- just a few minutes from downtown and the water park. The university is also very close. Maggie was great and timely in all her communication. Loved my stay!
